order_date,sale_number,product_id,seller_id,seller_name,customer_id,customer_name,unit_id,unit_name,quantity,unit_price,unit_cost,total_revenue,total_cost
2018-01-01,2018VA1804,44,2,Rodrigo,244,Cliente_244,2,Filial 2,64,573.63,803.0276722329511,36712.32,51393.77102290887
2018-01-01,2018VA619,231,9,Gustavo,242,Cliente_242,7,Filial 6,65,1733.63,324.72755644711293,112685.95000000001,21107.29116906234
2018-01-01,2018VM1119,255,1,Ronaldo,228,Cliente_228,10,Filial 9,45,1000.63,149.17051709856293,45028.35,6712.673269435331
2018-01-01,2018VM1658,23,3,Paola,204,Cliente_204,4,Filial 4 ,5,3620.63,524.753821099325,18103.15,2623.7691054966253
2018-01-01,2018VM1921,64,1,Ronaldo,227,Cliente_227,8,Filial 7,76,583.63,1082.2377084814825,44355.88,82250.06584459267
2018-01-01,2018VM1945,325,6,Luan,208,Cliente_208,10,Filial 9,60,3578.63,229.29761144922662,214717.80000000002,13757.856686953597
2018-01-01,2018VM1945,261,1,Ronaldo,208,Cliente_208,10,Filial 9,90,3924.63,1001.5001066521771,353216.7,90135.00959869593
2018-01-01,2018VM971,43,10,Lilia,211,Cliente_211,8,Filial 7,59,3392.63,734.371463307032,200165.17,43327.91633511488
2018-01-01,2018VS1058,213,1,Ronaldo,224,Cliente_224,1,Filial 1,98,2451.63,414.62748913444955,240259.74000000002,40633.493935176055
2018-01-01,2018VS1300,486,3,Paola,203,Cliente_203,2,Filial 2,40,2857.63,847.2361294756821,114305.20000000001,33889.44517902729
2018-01-01,2018VS1300,208,4,Neymar,203,Cliente_203,2,Filial 2,90,4254.63,446.9815785776633,382916.7,40228.3420719897
2018-01-01,2018VS1300,465,9,Gustavo,203,Cliente_203,2,Filial 2,44,1317.63,726.5542335047555,57975.72,31968.386274209242
2018-01-01,2018VS153,139,2,Rodrigo,210,Cliente_210,2,Filial 2,43,4210.63,919.330884869401,181057.09,39531.22804938424
2018-01-01,2018VS1643,224,2,Rodrigo,236,Cliente_236,9,Filial 8,13,2199.63,231.4132535033549,28595.190000000002,3008.3722955436137
2018-01-01,2018VS1712,491,4,Neymar,235,Cliente_235,7,Filial 6,51,1241.63,598.1115039482015,63323.130000000005,30503.686701358278
2018-01-01,2018VS1870,383,1,Ronaldo,231,Cliente_231,5,Matriz,41,2787.63,1164.0771937386885,114292.83,47727.164943286225
2018-01-01,2018VS455,333,3,Paola,201,Cliente_201,1,Filial 1,41,2632.63,265.94357372962975,107937.83,10903.686522914819
2018-01-01,2018VS674,424,4,Neymar,233,Cliente_233,9,Filial 8,7,394.63,319.66478950953905,2762.41,2237.6535265667735
2018-01-02,2018VA1342,91,3,Paola,257,Cliente_257,6,Filial 5,83,2227.63,462.93776852416903,184893.29,38423.83478750603
2018-01-02,2018VA1552,329,2,Rodrigo,262,Cliente_262,8,Filial 7,10,3613.63,481.8788454753673,36136.3,4818.788454753673
2018-01-02,2018VM1723,30,3,Paola,261,Cliente_261,3,Filial 3,89,209.63,384.88984308332437,18657.07,34255.196034415865
2018-01-02,2018VM650,283,7,Lazaro,246,Cliente_246,10,Filial 9,78,3424.63,478.9689563137182,267121.14,37359.57859247002
2018-01-02,2018VM797,312,6,Luan,247,Cliente_247,2,Filial 2,18,1009.63,336.1704091984799,18173.34,6051.067365572638
2018-01-02,2018VS1727,437,4,Neymar,254,Cliente_254,3,Filial 3,79,4657.63,672.6463261560314,367952.77,53139.05976632648
2018-01-02,2018VS540,98,6,Luan,252,Cliente_252,7,Filial 6,52,1621.63,544.7661943581197,84324.76000000001,28327.842106622225
2018-01-02,2018VS65,393,3,Paola,249,Cliente_249,9,Filial 8,43,721.63,157.26377230060112,31030.09,6762.342208925848
2018-01-02,2018VS746,156,9,Gustavo,245,Cliente_245,3,Filial 3,70,216.63,415.54128202623775,15164.1,29087.889741836643
2018-01-02,2018VS918,30,2,Rodrigo,248,Cliente_248,8,Filial 7,33,4992.63,843.4585735139678,164756.79,27834.132925960937
2018-01-03,2018VA1343,235,2,Rodrigo,268,Cliente_268,7,Filial 6,65,1534.63,440.39150497729423,99750.95000000001,28625.447823524126
